permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
RP-2022-002283,philadelphia,2022-03-28,2,Residential Building,New Construction,true,Issued,-75.11687962988753,39.98562095087028,2201 E SOMERSET ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-005353,philadelphia,2023-04-06,1,Building,New Construction,true,Completed,-75.10292233024403,39.99544841131465,3474 COLLINS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-015367,philadelphia,2021-02-11,1,Residential Building,New Construction,true,Expired,-75.12526179974441,39.98739906106807,1937 E HAROLD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-006146,philadelphia,2021-12-01,136,Building,New Construction,true,Issued,-75.20595096023737,39.95654472069218,4145 CHESTNUT ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-011808,philadelphia,2024-12-11,1,Residential Building,New Construction,true,Completed,-75.18067281954065,39.94052549061294,2231 KIMBALL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-005699,philadelphia,2021-10-18,50,Building,New Construction,true,Completed,-75.1782083196089,40.032984651125965,139-45 W CHELTEN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-018521,philadelphia,2021-12-31,1,Master Plan,New Construction,true,Completed,-75.14230640009303,39.979957970777676,433 W BERKS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-020445,philadelphia,2021-12-29,1,Residential Building,New Construction,true,Expired,-75.14149878980075,39.98095665105558,1947 N LAWRENCE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-002175,philadelphia,2020-10-08,410,Building,New Construction,true,Completed,-75.1622228702395,39.962960950705,510 N BROAD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-003879,philadelphia,2020-11-30,1,Residential Building,New Construction,true,Issued,-75.20724771020176,40.0186741410142,210 KALOS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2024-004557,philadelphia,2024-12-23,1,Building,New Construction,true,Issued,-75.21023784021838,39.91720682075247,6110 W PASSYUNK AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-008789,philadelphia,2021-12-20,6,Building,New Construction,true,Completed,-75.12603532034765,39.982730420894605,2451 FRANKFORD AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-014037,philadelphia,2021-03-04,1,Residential Building,New Construction,true,Completed,-75.17940329036347,39.98396954110765,1844 N MARSTON ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-004715,philadelphia,2023-09-14,1,Residential Building,New Construction,true,Completed,-75.17419729989383,39.97698324055325,2302 SHARSWOOD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-003174,philadelphia,2023-09-11,1,Residential Building,New Construction,true,Completed,-75.17402841021006,39.977326090758716,2301 SHARSWOOD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-013803,philadelphia,2021-12-09,1,Residential Building,New Construction,true,Expired,-75.12546025056801,39.98878383107371,1836 E OAKDALE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-005350,philadelphia,2021-12-15,5,Building,New Construction,true,Completed,-75.1645586197966,39.97501181096048,1720 MASTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-010968,philadelphia,2022-02-24,1,Residential Building,New Construction,true,Issued,-75.15712798033842,39.92415024071887,619 MCKEAN ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-010653,philadelphia,2020-09-29,1,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-004710,philadelphia,2021-10-06,8,Building,New Construction,true,Completed,-75.18015994963486,39.97359773103066,2630 W GIRARD AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-012938,philadelphia,2021-11-04,1,Residential Building,New Construction,true,Completed,-75.18900885007726,39.93229399076471,1638 S BAILEY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-002735,philadelphia,2020-09-11,1,Residential Building,New Construction,true,Completed,-75.12864646044633,39.981674260933865,2122 E ARIZONA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1053411,philadelphia,2021-01-15,1,Residential Building,New Construction,true,Expired,-75.17324703977599,39.934101250929366,1328 S COLORADO ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-006157,philadelphia,2023-12-21,1,Residential Building,New Construction,true,Completed,-75.06069453967022,40.065995390903474,1632 STANWOOD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-013468,philadelphia,2020-12-01,2,Residential Building,New Construction,true,Completed,-75.09823219002979,39.990061931241826,2500 E TIOGA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-016053,philadelphia,2021-11-18,1,Residential Building,New Construction,true,Issued,-75.16772473012742,39.969479640596816,821 N 19TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-002663,philadelphia,2022-11-02,6,Building,New Construction,true,Issued,-75.17845594044714,39.98064993079808,1620-22 N BAILEY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2023-000742,philadelphia,2023-06-26,3,Building,New Construction,true,Completed,-75.13667931051403,39.98406784131947,2208 N 2ND ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-004973,philadelphia,2022-11-17,3,Building,New Construction,true,Completed,-75.20611356960481,39.97365010125925,4054 W GIRARD AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-009314,philadelphia,2024-12-30,1,Residential Building,New Construction,true,Completed,-75.11780319051049,39.97506879107994,2515 SALMON ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-009974,philadelphia,2024-11-26,1,Residential Building,New Construction,true,Issued,-75.13578810057898,39.97290677090528,1437 N HOWARD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-010478,philadelphia,2023-04-13,2,Residential Building,New Construction,true,Expired,-75.18639149976428,40.004521430883834,3422 W CLEARFIELD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-013432,philadelphia,2020-12-01,2,Residential Building,New Construction,true,Completed,-75.09823219002979,39.990061931241826,2500 E TIOGA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-012993,philadelphia,2021-05-03,1,Residential Building,New Construction,true,Expired,-75.17983379043538,40.053935650665224,270 MONTANA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-009012,philadelphia,2023-01-03,1,Residential Building,New Construction,true,Completed,-75.12027705007287,39.969617450796896,2001 RICHMOND ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-013920,philadelphia,2021-11-29,1,Residential Building,New Construction,true,Completed,-75.17599519963758,39.92863646137039,1821 MCCLELLAN ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-003293,philadelphia,2024-08-01,2,Residential Building,New Construction,true,Amendment Review,-75.20797560045682,39.96749092126297,820 N 42ND ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1046271,philadelphia,2020-06-04,2,Residential Building,New Construction,true,Expired,-75.20239415042427,39.93872281083418,3619 SEARS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-000567,philadelphia,2020-08-18,2,Building,New Construction (Shell Only),true,Completed,-75.1595893000567,40.02446403130305,4555-59 GERMANTOWN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
